Room: Temperature, Node number: 5, [5, 'Temperature', 23.34, 1528971335.138, datetime.datetime(2018, 6, 14, 15, 45, 35, 138000)]
Room: Temperature, Node number: 5, [5, 'Temperature', 23.34, 1528971337.445, datetime.datetime(2018, 6, 14, 15, 45, 37, 445000)]
Room: Temperature, Node number: 5, [5, 'Temperature', 23.34, 1528971338.447, datetime.datetime(2018, 6, 14, 15, 45, 38, 447000)]
Room: Temperature, Node number: 5, [5, 'Temperature', 23.34, 1528971339.449, datetime.datetime(2018, 6, 14, 15, 45, 39, 449000)]
Room: Temperature, Node number: 5, [5, 'Temperature', 23.34, 1528971340.455, datetime.datetime(2018, 6, 14, 15, 45, 40, 455000)]
Room: Temperature, Node number: 5, [5, 'Temperature', 23.34, 1528971341.462, datetime.datetime(2018, 6, 14, 15, 45, 41, 462000)]
Room: Temperature, Node number: 5, [5, 'Temperature', 23.34, 1528971342.464, datetime.datetime(2018, 6, 14, 15, 45, 42, 464000)]
Room: Temperature, Node number: 5, [5, 'Temperature', 23.34, 1528971343.481, datetime.datetime(2018, 6, 14, 15, 45, 43, 481000)]
Room: Temperature, Node number: 5, [5, 'Temperature', 23.34, 1528971344.484, datetime.datetime(2018, 6, 14, 15, 45, 44, 484000)]
Room: Temperature, Node number: 5, [5, 'Temperature', 23.34, 1528971346.046, datetime.datetime(2018, 6, 14, 15, 45, 46, 46000)]
Room: Temperature, Node number: 5, [5, 'Temperature', 12.34, 1528971885.118, datetime.datetime(2018, 6, 14, 15, 54, 45, 118000)]
Room: Temperature, Node number: 5, [5, 'Temperature', 12.34, 1528971886.119, datetime.datetime(2018, 6, 14, 15, 54, 46, 119000)]
Room: Temperature, Node number: 5, [5, 'Temperature', 12.34, 1528971887.136, datetime.datetime(2018, 6, 14, 15, 54, 47, 136000)]
Room: Temperature, Node number: 5, [5, 'Temperature', 12.34, 1528971888.137, datetime.datetime(2018, 6, 14, 15, 54, 48, 137000)]
Room: Temperature, Node number: 5, [5, 'Temperature', 12.34, 1528971889.168, datetime.datetime(2018, 6, 14, 15, 54, 49, 168000)]
Room: Temperature, Node number: 5, [5, 'Temperature', 12.34, 1528971890.164, datetime.datetime(2018, 6, 14, 15, 54, 50, 164000)]
Room: Temperature, Node number: 5, [5, 'Temperature', 12.34, 1528971891.182, datetime.datetime(2018, 6, 14, 15, 54, 51, 182000)]
